url,title,video,images,paragraph,bullets,examples,advanced,medium,easy,topic,facts and procedures,theories and meaning,steps given,practical ,thinking,tf,3,15,5,6
https://docs.oracle.com/javase/tutorial/java/IandI/subclasses.html,Inheritance (The Javaï¿½ Tutorials > Learning the Java Language > Interfaces and Inheritance),0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,inheritance,FALSE,TRUE,TRUE,TRUE,TRUE,0.005581395,FALSE,,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/java/concepts/inheritance.html,What Is Inheritance?,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,inheritance,FALSE,TRUE,FALSE,TRUE,TRUE,0.002542373,,FALSE,FALSE,FALSE
http://www.javatpoint.com/inheritance-in-java,Inheritance in Java - Javatpointï¿½,0,17,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,inheritance,TRUE,FALSE,FALSE,TRUE,FALSE,0.012987013,,FALSE,FALSE,FALSE
http://beginnersbook.com/2013/03/inheritance-in-java/,What is Inheritance in Java Programming?,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inheritance,FALSE,TRUE,FALSE,TRUE,TRUE,0.005777564,,FALSE,FALSE,FALSE
http://www.javaworld.com/article/2987426/core-java/java-101-inheritance-in-java-part-1.html,Java 101: Inheritance in Java Part 1 | JavaWorld,0,35,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,inheritance,TRUE,FALSE,FALSE,TRUE,TRUE,0.003481894,,FALSE,FALSE,FALSE
http://www3.ntu.edu.sg/home/ehchua/programming/java/j3b_oopinheritancepolymorphism.html,OOP Inheritance & Polymorphism - Java Programming Tutorial,0,13,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,inheritance,TRUE,FALSE,TRUE,TRUE,TRUE,0.002051923,FALSE,,FALSE,FALSE
http://www.wideskills.com/java-tutorial/java-inheritance,Java Inheritance | Wideskills,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,inheritance,TRUE,FALSE,FALSE,TRUE,FALSE,0.00676819,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/java/javaOO/methods.html,Defining Methods (The Javaï¿½ Tutorials > Learning the Java Language > Classes and Objects),0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,overloading,FALSE,TRUE,FALSE,FALSE,TRUE,0.001885607,,FALSE,FALSE,FALSE
http://beginnersbook.com/2013/05/method-overloading/,Method Overloading in Java with examples,0,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,overloading,TRUE,FALSE,TRUE,TRUE,FALSE,0.010841507,FALSE,,FALSE,FALSE
http://www.tutorialspoint.com/javaexamples/method_overloading.htm,Java Examples - Method Overloading,0,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,overloading,TRUE,FALSE,FALSE,TRUE,FALSE,0.005555556,,FALSE,FALSE,FALSE
http://www.javatpoint.com/method-overloading-in-java,Method Overloading in Java - Javatpointï¿½,0,16,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,overloading,TRUE,FALSE,TRUE,TRUE,TRUE,0.013225569,FALSE,,FALSE,FALSE
http://www.programmerinterview.com/index.php/java-questions/method-overriding-vs-overloading/,Java: Method Overloading versus Overridingï¿½,0,6,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,overloading,FALSE,TRUE,FALSE,TRUE,TRUE,0.009030003,,FALSE,FALSE,FALSE
https://en.wikibooks.org/wiki/Java_Programming/Overloading_Methods_and_Constructors,verloading and Overriding - Wikibooks open books for an open world,0,35,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,overloading,TRUE,TRUE,FALSE,TRUE,TRUE,0.006122449,,FALSE,FALSE,FALSE
http://stackoverflow.com/questions/11110631/java-overloading-and-inheritance-rules,http://stackoverflow.com/questions/11110631/java-overloading-and-inheritance-rules,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,overloading,TRUE,FALSE,FALSE,FALSE,TRUE,0.004846527,,FALSE,FALSE,FALSE
http://www.studytonight.com/java/method-and-overloaded-method.php,Methods and Method overloading in Java | Core Java Tutorial | Studytonight,0,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,overloading,TRUE,FALSE,FALSE,TRUE,FALSE,0.006578947,,FALSE,FALSE,FALSE
http://www.programcreek.com/2009/02/overriding-and-overloading-in-java-with-examples/,Overriding vs. Overloading in Javaï¿½,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,overloading,TRUE,TRUE,FALSE,TRUE,TRUE,0.009516257,,FALSE,FALSE,FALSE
https://software.intel.com/en-us/forums/mobile-software-development/topic/563737,Difference between overloading and overriding in JAVA Programming,0,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,overloading,TRUE,FALSE,FALSE,FALSE,TRUE,0.002747672,,FALSE,FALSE,FALSE
https://youtu.be/ouI9Qarbbik,#49 Java Method Overriding Example: Java Tutorial For Beginners,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,overriding,TRUE,FALSE,TRUE,TRUE,FALSE,0.001132996,FALSE,FALSE,FALSE,
http://www.tutorialspoint.com/java/java_overriding.htm,Java - Overridingï¿½,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,overriding,TRUE,FALSE,TRUE,TRUE,FALSE,0.007268951,FALSE,,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/java/IandI/override.html,Overriding and Hiding Methods (The Javaï¿½ Tutorials > Learning the Java Language > Interfaces and Inheritance),0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,overriding,FALSE,TRUE,FALSE,TRUE,TRUE,0.003381643,,FALSE,FALSE,FALSE
