url,title,video,images,paragraph,bullets,examples,advanced,medium,easy,topic,facts and procedures,theories and meaning,steps given,practical ,thinking,tf,3,4,5,6
http://www.codejava.net/java-core/the-java-language/java-keyword-assert,Java Classes and Objectsï¿½,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,class,TRUE,FALSE,TRUE,TRUE,FALSE,0.001489203,FALSE,,FALSE,FALSE
http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html,Java 101: Classes and objects in Java,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,class,FALSE,TRUE,FALSE,TRUE,TRUE,0.00952381,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/java/javaOO/classdecl.html,Declaring Classes,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,class,FALSE,TRUE,FALSE,FALSE,TRUE,0.016768293,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/8/docs/api/java/lang/Class.html,Classï¿½,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,class,TRUE,TRUE,FALSE,TRUE,TRUE,0.060956385,,FALSE,FALSE,FALSE
http://www.jchq.net/certkey/0101certkey.htm,Declarations and access control,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,declarations and access control,FALSE,TRUE,FALSE,TRUE,FALSE,0.005791506,,FALSE,FALSE,FALSE
http://rymden.nu/exceptions.html, Explanations to common Java exceptions ,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,exceptions,TRUE,FALSE,FALSE,FALSE,TRUE,7.89E-04,,FALSE,FALSE,FALSE
http://beginnersbook.com/2013/04/java-exception-handling/,Exception handling in java with example programs,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,exceptions,TRUE,TRUE,FALSE,FALSE,TRUE,0.009937888,,FALSE,FALSE,TRUE
http://www.javaworld.com/article/2076700/core-java/exceptions-in-java.html,Exceptions in Java,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,exceptions,FALSE,TRUE,FALSE,TRUE,TRUE,0.002862595,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/7/docs/api/java/lang/Exception.html,Exceptionï¿½,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,exceptions,TRUE,TRUE,FALSE,FALSE,TRUE,0.003690037,,FALSE,FALSE,
https://docs.oracle.com/javase/tutorial/essential/exceptions/handling.html,Catching and Handling Exceptionsï¿½,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,exceptions,FALSE,TRUE,FALSE,TRUE,FALSE,0.006637168,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/essential/exceptions/,Lesson: Exceptionsï¿½,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,exceptions,FALSE,TRUE,FALSE,FALSE,TRUE,0.009725906,,FALSE,FALSE,
https://plumbr.eu/handbook/what-is-garbage-collection,What Is Garbage Collection?,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,garbage collection,FALSE,TRUE,FALSE,TRUE,TRUE,0.009682224,,FALSE,FALSE,FALSE
http://www.javaworld.com/javaworld/jw-10-2012/121010-jvm-performance-optimization-garbage-collection.html,JVM performance optimization Part 3: Garbage collection | JavaWorld,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,garbage collection,FALSE,TRUE,FALSE,FALSE,TRUE,0.004750733,,FALSE,FALSE,FALSE
http://stackoverflow.com/questions/3798424/what-is-the-garbage-collector-in-java,What is the garbage collector in Java?ï¿½,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,garbage collection,TRUE,FALSE,FALSE,FALSE,TRUE,0.010292524,,FALSE,FALSE,FALSE
http://www.cubrid.org/blog/dev-platform/understanding-java-garbage-collection/,Understanding Java Garbage Collection,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,garbage collection,FALSE,TRUE,FALSE,FALSE,TRUE,0.004511059,,FALSE,FALSE,FALSE
http://www.oracle.com/technetwork/java/javase/gc-tuning-6-140523.html,Java SE 6 HotSpot[tm] Virtual Machine Garbage Collection Tuning,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,garbage collection,FALSE,TRUE,FALSE,FALSE,TRUE,0.011756129,,FALSE,FALSE,FALSE
http://www.programmerinterview.com/index.php/java-questions/java-inner-class-example/,Java Inner Class Exampleï¿½,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,nested class,TRUE,FALSE,FALSE,TRUE,FALSE,0.016853933,,FALSE,FALSE,FALSE
https://en.wikipedia.org/wiki/Inner_class,Inner class,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,nested class,FALSE,TRUE,FALSE,FALSE,TRUE,0.017445688,,FALSE,FALSE,FALSE
http://javabeginnerstutorial.com/core-java-tutorial/inner-class/,Inner Class tutorial for Java beginners,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,nested class,TRUE,FALSE,TRUE,TRUE,FALSE,0.014576677,FALSE,,FALSE,FALSE
http://stackoverflow.com/questions/70324/java-inner-class-and-static-nested-class,Java inner class and static nested class,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,nested class,FALSE,TRUE,FALSE,TRUE,TRUE,0.028691238,,FALSE,FALSE,FALSE
http://www.javaworld.com/article/2077411/core-java/inner-classes.html,Inner classes | JavaWorld,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,nested class,TRUE,FALSE,FALSE,TRUE,TRUE,0.003954363,,FALSE,FALSE,FALSE
http://www.tutorialspoint.com/java/java_innerclasses.htm,Java - Inner classesï¿½,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,nested class,TRUE,FALSE,TRUE,TRUE,FALSE,0.044820717,FALSE,,FALSE,FALSE
